sampleId	analysising	hasAnalysis	fristAudit	secondAudit	terminate
5009	0	0	0	6	0
5011	0	0	0	6	0
5012	0	0	0	12	0
5013	0	0	0	6	0
5014	0	0	0	6	0
5015	0	0	0	6	0
5016	0	0	0	6	0
5018	0	0	0	6	0
5019	0	0	0	6	0
5020	0	0	0	6	0
5021	0	0	0	6	0
5023	0	0	0	8	0
5024	0	0	0	6	0
5025	0	0	0	6	0
5027	0	0	0	6	0
5028	0	0	0	12	0
5030	0	0	0	8	0
5031	0	0	0	6	0
5032	0	0	0	8	0
5034	0	0	0	8	0
5035	0	0	0	6	0
5036	0	0	0	6	0
5037	0	0	0	6	0
5038	0	0	0	6	0
5039	0	0	0	6	0
5040	0	0	0	6	0
5041	0	0	0	6	0
5042	0	0	0	6	0
5043	0	0	0	6	0
5044	0	0	0	6	0
5045	0	0	0	6	0
5047	0	0	0	6	0
5049	0	0	0	8	0
5050	0	0	0	6	0
5051	0	0	0	6	0
5053	0	0	0	8	0
5055	0	0	0	8	0
5061	0	0	0	6	0
5062	0	0	0	6	0
5063	0	0	0	12	0
5065	0	0	0	6	0
5066	0	0	0	8	0
5067	0	0	0	8	0
50A	0	0	0	29	0
50B	0	0	0	84	0
6001	0	0	0	6	0
6002	0	0	0	6	0
6004	0	0	0	6	0
6006	0	0	0	8	0
6007	0	0	0	6	0
6008	0	0	0	6	0
6010	0	0	0	6	0
6011	0	0	0	6	0
6012	0	0	0	8	0
6013	0	0	0	6	0
6014	0	0	0	8	0
6015	0	0	0	6	0
6017	0	0	0	6	0
6018	0	0	0	12	0
6019	0	0	0	8	0
6020	0	0	0	6	0
6021	0	0	0	6	0
6023	0	0	0	6	0
6026	0	0	0	6	0
6027	0	0	0	6	0
6028	0	0	0	6	0
6029	0	0	0	6	0
6030	0	0	0	6	0
6031	0	0	0	6	0
6032	0	0	0	6	0
6033	0	0	0	6	0
6034	0	0	0	12	0
6035	0	0	0	6	0
6036	0	0	0	6	0
6037	0	0	0	6	0
6038	0	0	0	12	0
6040	0	0	0	12	0
6041	0	0	0	6	0
6042	0	0	0	6	0
6043	0	0	0	6	0
6044	0	0	0	6	0
6045	0	0	0	12	0
6046	0	0	0	6	0
6047	0	0	0	6	0
6048	0	0	0	8	0
6049	0	0	0	8	0
6050	0	0	0	8	0
6051	0	0	0	8	0
6052	0	0	0	8	0
6053	0	0	0	6	0
6054	0	0	0	6	0
6056	0	0	0	6	0
6057	0	0	0	6	0
6058	0	0	0	6	0
6059	0	0	0	12	0
6060	0	0	0	6	0
6061	0	0	0	6	0
6063	0	0	0	6	0
6064	0	0	0	8	0
6065	0	0	0	8	0
6068	0	0	0	6	0
6069	0	0	0	6	0
6070	0	0	0	6	0
6071	0	0	0	6	0
6072	0	0	0	6	0
6073	0	0	0	6	0
6075	0	0	0	6	0
6076	0	0	0	6	0
6077	0	0	0	6	0
6078	0	0	0	6	0
6079	0	0	0	6	0
6080	0	0	0	6	0
6081	0	0	0	6	0
6082	0	0	0	6	0
6083	0	0	0	6	0
6084	0	0	0	6	0
6085	0	0	0	6	0
6086	0	0	0	6	0
6087	0	0	0	6	0
6088	0	0	0	6	0
6089	0	0	0	6	0
6090	0	0	0	6	0
6091	0	0	0	6	0
6092	0	0	0	6	0
6093	0	0	0	6	0
6094	0	0	0	6	0
6095	0	0	0	8	0
6096	0	0	0	6	0
6097	0	0	0	6	0
6098	0	0	0	8	0
6099	0	0	0	8	0
60A	0	0	0	29	0
60B	0	0	0	42	0
6100	0	0	0	8	0
7001	0	0	0	6	0
7002	0	0	0	8	0
7004	0	0	0	8	0
7005	0	0	0	6	0
7006	0	0	0	8	0
7007	0	0	0	6	0
7008	0	0	0	6	0
7009	0	0	0	12	0
7010	0	0	0	6	0
7011	0	0	0	6	0
7012	0	0	0	6	0
7013	0	0	0	6	0
7014	0	0	0	6	0
7015	0	0	0	8	0
7016	0	0	0	6	0
7017	0	0	0	6	0
7018	0	0	0	6	0
7019	0	0	0	6	0
7021	0	0	0	8	0
7022	0	0	0	6	0
7023	0	0	0	6	0
7024	0	0	0	8	0
7025	0	0	0	6	0
7026	0	0	0	6	0
